1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5B000000398E6B21
Is Mission Active?  true
Mission Start:  Sat Jul 23 05:36:00 CAST 2022
Sample Rate:  Every 2 minute(s)
Number of Mission Samples:  3331
Total Samples:  78753
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Sun Jul 31 00:00:00 CAST 2022
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/23/22, 9:46:00 PM,C,20.5
7/23/22, 9:48:00 PM,C,20.5
7/23/22, 9:50:00 PM,C,20.5
7/23/22, 9:52:00 PM,C,20.5
7/23/22, 9:54:00 PM,C,20.5
7/23/22, 9:56:00 PM,C,20.5
7/23/22, 9:58:00 PM,C,20
7/23/22, 10:00:00 PM,C,20
7/23/22, 10:02:00 PM,C,20
7/23/22, 10:04:00 PM,C,20
7/23/22, 10:06:00 PM,C,20
7/23/22, 10:08:00 PM,C,20
7/23/22, 10:10:00 PM,C,20
7/23/22, 10:12:00 PM,C,20
7/23/22, 10:14:00 PM,C,20
7/23/22, 10:16:00 PM,C,20
7/23/22, 10:18:00 PM,C,20
7/23/22, 10:20:00 PM,C,20
7/23/22, 10:22:00 PM,C,20
7/23/22, 10:24:00 PM,C,20
7/23/22, 10:26:00 PM,C,19.5
7/23/22, 10:28:00 PM,C,19.5
7/23/22, 10:30:00 PM,C,19.5
7/23/22, 10:32:00 PM,C,19.5
7/23/22, 10:34:00 PM,C,19.5
7/23/22, 10:36:00 PM,C,19
7/23/22, 10:38:00 PM,C,19
7/23/22, 10:40:00 PM,C,19
7/23/22, 10:42:00 PM,C,18.5
7/23/22, 10:44:00 PM,C,18.5
7/23/22, 10:46:00 PM,C,18.5
7/23/22, 10:48:00 PM,C,18.5
7/23/22, 10:50:00 PM,C,18.5
7/23/22, 10:52:00 PM,C,18.5
7/23/22, 10:54:00 PM,C,18
7/23/22, 10:56:00 PM,C,18
7/23/22, 10:58:00 PM,C,18
7/23/22, 11:00:00 PM,C,18
7/23/22, 11:02:00 PM,C,18
7/23/22, 11:04:00 PM,C,18
7/23/22, 11:06:00 PM,C,18
7/23/22, 11:08:00 PM,C,18
7/23/22, 11:10:00 PM,C,18
