Label,DEPTH,Plot,Rainfall,Interval,Sample_mass,SandMasswBag,Dryingbagmass,Drymasswbag,D_bagMasswSand,DrySandMass,TotalBagwSandMass,Date,Time,Datetime,Wmass,Dmass,Moist
1Q4,1,4,10,5,10.66,4.8,1.27,5.7,3.62,2.35,7.15,7/31/22,18:00:00,7/31/22 18:00,3.51,2.08,68.75
1Q3,1,3,10,6,7.69,3.21,1.35,4.29,2.04,0.69,3.9,8/1/22,0:00:00,8/1/22 0:00,3.79,2.25,68.44444444
3Q3,3,3,10,6,12.09,7.61,1.34,4.4,2.3,0.96,8.57,8/1/22,0:00:00,8/1/22 0:00,3.52,2.1,67.61904762
3Q8,3,8,10,6,6.5,2.64,1.35,3.78,1.64,0.29,2.93,8/1/22,0:00:00,8/1/22 0:00,3.57,2.14,66.82242991
1Q3,1,3,10,5,8.95,2.96,1.28,5.93,3.89,2.61,5.57,7/31/22,18:00:00,7/31/22 18:00,3.38,2.04,65.68627451
3Q13,3,13,10,7,10.64,5.64,1.3,4.92,2.78,1.48,7.12,8/1/22,6:00:00,8/1/22 6:00,3.52,2.14,64.48598131
1Q4,1,4,10,4,11.84,6.68,1.29,4.74,2.04,0.75,7.43,7/31/22,12:00:00,7/31/22 12:00,4.41,2.7,63.33333333
3Q4,3,4,10,6,5.66,2.47,1.34,3.46,1.77,0.43,2.9,8/1/22,0:00:00,8/1/22 0:00,2.76,1.69,63.31360947
1Q13,1,13,10,4,10.72,5.25,1.33,4.99,2.12,0.79,6.04,7/31/22,12:00:00,7/31/22 12:00,4.68,2.87,63.06620209
1Q3,1,3,10,4,7.98,4.43,1.29,3.64,1.73,0.44,4.87,7/31/22,12:00:00,7/31/22 12:00,3.11,1.91,62.82722513
1Q6,1,6,5,5,8.01,2.86,1.28,5.13,3.03,1.75,4.61,7/31/22,18:00:00,7/31/22 18:00,3.4,2.1,61.9047619
1Q14,1,14,5,3,10.23,4.83,1.3,5.4,3.3,2,6.83,7/31/22,6:00:00,7/31/22 6:00,3.4,2.1,61.9047619
1Q5,1,5,0,3,5.69,2.71,1.26,3.12,1.29,0.03,2.74,7/31/22,6:00:00,7/31/22 6:00,2.95,1.83,61.20218579
1Q13,1,13,10,6,8.18,3.3,1.3,4.6,2.01,0.71,4.01,8/1/22,0:00:00,8/1/22 0:00,4.17,2.59,61.003861
3Q13,3,13,10,6,9.23,4.5,1.32,4.44,1.78,0.46,4.96,8/1/22,0:00:00,8/1/22 0:00,4.27,2.66,60.52631579
3Q14,3,14,5,3,15.09,8.89,1.26,6.09,3.79,2.53,11.42,7/31/22,6:00:00,7/31/22 6:00,3.67,2.3,59.56521739
1Q3,1,3,10,3,10.64,4.26,1.32,6.09,3.38,2.06,6.32,7/31/22,6:00:00,7/31/22 6:00,4.32,2.71,59.4095941
1Q12,1,12,10,6,7.72,2.94,1.3,4.43,1.64,0.34,3.28,8/1/22,0:00:00,8/1/22 0:00,4.44,2.79,59.13978495
3Q8,3,8,10,3,9.09,4.35,1.29,4.85,2.84,1.55,5.9,7/31/22,6:00:00,7/31/22 6:00,3.19,2.01,58.70646766
3Q10,3,10,5,5,7.09,2.94,1.3,4.29,2.29,0.99,3.93,7/31/22,18:00:00,7/31/22 18:00,3.16,2,58
1Q12,1,12,10,6,6.78,2.85,1.31,4.01,1.88,0.57,3.42,8/1/22,0:00:00,8/1/22 0:00,3.36,2.13,57.74647887
3Q12,3,12,10,5,8.62,3.69,1.33,5.08,3.02,1.69,5.38,7/31/22,18:00:00,7/31/22 18:00,3.24,2.06,57.2815534
3Q12,3,12,10,4,8.01,4.06,1.3,4.05,1.95,0.65,4.71,7/31/22,12:00:00,7/31/22 12:00,3.3,2.1,57.14285714
1Q12,1,12,10,7,9.57,4.94,1.29,4.55,2.15,0.86,5.8,8/1/22,6:00:00,8/1/22 6:00,3.77,2.4,57.08333333
1Q8,1,8,10,6,8.11,3.27,1.3,4.72,2.23,0.93,4.2,8/1/22,0:00:00,8/1/22 0:00,3.91,2.49,57.02811245
3Q4,3,4,10,4,10.07,6.31,1.3,3.91,1.86,0.56,6.87,7/31/22,12:00:00,7/31/22 12:00,3.2,2.05,56.09756098
1Q13,1,13,10,6,8.6,4.92,1.33,3.81,1.66,0.33,5.25,8/1/22,0:00:00,8/1/22 0:00,3.35,2.15,55.81395349
3Q1,3,1,0,7,6.36,2.95,1.3,3.79,2.14,0.84,3.79,8/1/22,6:00:00,8/1/22 6:00,2.57,1.65,55.75757576
3Q4,3,4,10,5,8.54,3.62,1.34,5.09,2.99,1.65,5.27,7/31/22,18:00:00,7/31/22 18:00,3.27,2.1,55.71428571
1Q4,1,4,10,2,9.69,5.65,1.3,4.12,1.92,0.62,6.27,7/31/22,0:00:00,7/31/22 0:00,3.42,2.2,55.45454545
